,topic_id,message_id,content,name,definition,correct_classified,explanation,reasoning,new_classification,new_correct
2,crashes,1366757839967879279,"stewpenny crashout, closed it and we stole the alliance name",Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,,"In the context of EVE Online, 'crashout' often refers to a social failure, disbanding, or rage-quitting an alliance, rather than a technical game crash. The phrase 'stole the alliance name' further emphasizes player interactions and community dynamics.",['community'],True
4,crashes,1360780495092453536,having crashing issues?,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,,"The message directly asks 'having crashing issues?', which refers to problems with the game unexpectedly terminating.",['crashes'],False
5,crashes,1340646581707214932,"Â¯\_(ãƒ„)_/Â¯
I just tell the code robot to make it more blue and the squares should be rectangles, also it crashed.",Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,,"The message explicitly states 'it crashed', indicating an unexpected termination of the game application.",['crashes'],False
11,crashes,1349505658583777353,only degear when u got crashed,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,,"The term 'degear' refers to losing equipment on a ship, and 'crashed' in this context implies the destruction of a ship in-game, which is a core gameplay mechanic involving player-controlled 'Items' (gear) and the 'Gameplay' of ship destruction.","['gameplay', 'items']",True
12,crashes,1384503321716461568,"I pinged CCP Bee, CCP DramaQueen, CCP Stroopwafel, CCP Swift, CCP Alpha, CCP Arcade, CCP Avalon, CCP Banquet, and CCP Burger and only Stroop and Big Man responded

Typical amarr crash out",Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,"the faction Amarr 
crash=give up","The message mentions 'CCP Bee, CCP DramaQueen, etc.', which are explicit references to the game 'Developer' (CCP staff). 'Amarr crash out' refers to a social failure or disbanding, as per the provided context for 'crash out', thus fitting the 'Community' topic.","['developer', 'community']",True
13,crashes,1355327538796167338,crash in a marauder smh,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,ship crashed in a marauder class,"A 'marauder' is a type of 'Ships'. 'Crash in a marauder' implies the destruction of the ship, which is a fundamental aspect of 'Gameplay' in EVE Online.","['53148472-bd85-495d-9884-3a5e15989407', 'gameplay']",True
14,crashes,1363953079178760193,Take fleet warps for the next few hours while iâ€™m outside walking or shopping then claim my pc crashed,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,player discussing fake a crash for something else,The phrase 'fleet warps' describes an in-game 'Gameplay' mechanic. 'Claim my pc crashed' explicitly refers to a technical 'Crashes' issue with the computer or game client.,"['gameplay', 'crashes']",False
16,crashes,1340137505604767756,if ESI crashes we know the culprit !,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,hypothetical situation,"The message states 'if ESI crashes', referring to the EVE Online API (ESI) experiencing a technical failure. This falls under 'Crashes' and specifically relates to 'Online systems' as ESI is part of the game's connectivity and data infrastructure.","['crashes', 'online-systems']",False
18,crashes,1371010143248056381,he had a crashout and started arguing and throwing insults around,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,emotional breakdown not game client,"The message explicitly states 'he had a crashout', which, according to the provided context, refers to a social event like disbanding, rage-quitting, or failing socially, and is therefore classified under 'Community'.",['community'],True
19,crashes,1363369259211948072,Youâ€™ve already had your daily crashout,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,teasing a person crash out everyday,"The message mentions 'your daily crashout', which, based on the provided context, signifies a social failure or negative community interaction, aligning with the 'Community' topic.",['community'],True
24,crashes,1347780516929077278,So on the race mode on psp was just racing without the cool crashing aspect of the series,Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,Talking about other game and crashing aspect,The message talks about a 'crashing aspect of the series' in 'race mode'. This refers to an intended gameplay mechanic (crashing within the game) rather than a technical game client crash.,['gameplay'],True
26,crashes,1346902208964464692,"alr, now that i think of it, it's just some crash, metal scraps, and maybe a exotic dancer or two ðŸ¤·",Crashes,"Crashes (Unexpected shutdowns, freezes, or application terminations during gameplay or startup, crashes in the game)",0.0,it means ship crash,"The message mentions 'crash, metal scraps, and maybe a exotic dancer'. In the context of Eve Online, a 'crash' leading to 'metal scraps' typically refers to an in-game ship destruction event (gameplay), and 'metal scraps' and 'exotic dancer' are types of in-game items.","['gameplay', 'items']",True
